Date,Country,CPI,IP,LongRate,ShortRate,Stocks,Inflation_YoY,Inflation_MoM,IP_Growth_YoY,Term_Spread,Real_Short_Rate,Real_Stock_Return
2010-05-01,USA,91.6769683187282,93.6754118568786,3.42,0.2,-7.95200654360584,1.983742011461404,-0.051990716457466925,8.66949007490147,3.2199999999999998,-1.783742011461404,-2302.533102277588
2010-06-01,BEL,-0.0107573149741731,94.0078339861655,3.47,0.3543,1.22126365660006,-285.5732653029995,-2302.5850929940457,12.565972012875386,3.1157000000000004,285.92756530299954,0.0
2010-06-01,CAN,91.6513036607848,93.8511199850865,3.29772727272727,0.4928,-1.0358045214456,1.127016697103885,0.2589556906733012,9.05512036947536,2.8049272727272703,-0.6342166971038851,-103.73893070164627
2010-06-01,COL,0.11494252873563,94.0759134444839,8.475696346,3.028212,1.7436828144632,-2302.5850929940457,8.595718167412057,6.653145593978381,5.4474843459999995,2305.613304994046,-2311.1808111614578
2010-06-01,DEU,93.7501473688182,90.8498370518927,2.543181818,0.3543,1.37525805939335,1.0050335853501724,0.0,11.324038898448803,2.188881818,-0.6507335853501723,-2302.5850929940457
2010-06-01,ESP,0.178905146086873,105.775,4.5555,0.3543,-1.10905168484702,-90.14211519924746,-21.3825475917958,2.814624386261127,4.2012,90.49641519924745,-229.1497942474164
2010-06-01,FIN,0.100130169219986,115.0,2.92,0.3543,-0.349852085721411,-101.66535399175842,-2302.5850929940457,14.779411407242288,2.5657,102.01965399175842,1970.0642975129683
2010-06-01,FRA,94.5739405808575,98.7891767568604,3.07321286363636,0.3543,-0.103399400515828,1.5236563473189868,0.0,3.9014235837724405,2.71891286363636,-1.1693563473189867,-454.71813874268656
2010-06-01,GBR,0.1,90.2547938008931,3.6007,0.487,-1.86233642736163,-69.31471805599453,-69.31471805599453,1.4068227332201182,3.1136999999999997,69.80171805599453,-82.40812872481469
2010-06-01,GRC,-0.262587677597341,113.429855217174,9.1,0.3543,-9.37426224447176,135.3681114753052,-2302.5850929940457,-3.2903401106943515,8.7457,-135.0138114753052,2255.0666617194943
2010-06-01,HUN,0.200000000000003,81.9071518193224,7.6,4.5697,-5.5814845569853,69.31471805600172,-150.40773967762658,12.933851436448595,3.0302999999999995,-64.74501805600173,109.42547204367492
2010-06-01,IRL,-0.10427528675705,61.398667663363,5.31,0.3543,-1.2658103575227,-108.82387516607102,-2302.5850929940457,4.386771365183506,4.955699999999999,109.17817516607101,2113.582501509891
2010-06-01,ISR,0.343642611683849,96.0187353629976,4.69,1.52,-3.01181061502377,-87.63527804349026,-0.3442344190973458,13.227782327030809,3.1700000000000004,89.15527804349026,-92.7485339622608
2010-06-01,JPN,96.6231121669778,101.452258165535,1.08,0.095,-4.89464060255126,-0.5088856402350158,0.0,14.745273114312793,0.9850000000000001,0.6038856402350158,-34.729784490388624
2010-06-01,KOR,-0.101012446591125,92.2905031896046,4.93,2.0,2.41184459426688,13.518105436273457,-2302.5850929940457,15.07628294812613,2.9299999999999997,-11.518105436273457,0.0
2010-06-01,LUX,-0.0109241861481429,102.0,3.008,0.3543,-4.19144437947009,-2302.5850929940457,-2302.5850929940457,11.19179162039854,2.6537,2302.9393929940456,2184.319923597561
2010-06-01,NLD,-0.478053020425921,96.6838860189968,2.899,0.3543,0.2052091554854,30.8956361548192,239.83297720452614,8.635351314371418,2.5447,-30.541336154819202,-2542.418070198572
2010-06-01,NOR,-0.108459869848168,95.6185385751459,3.36,2.28,-0.943905070118666,-2302.5850929940457,-160.40295704247305,6.754391542659969,1.08,2304.865092994046,-30.328611379075994
2010-06-01,POL,0.3,82.4931255728689,5.87,3.75,-1.12273499972205,40.54651081081642,0.0,14.310084364067402,2.12,-36.79651081081642,-153.5843714842908
2010-06-01,PRT,0.19067706336019,100.9778436,5.54,0.3543,2.41589869175742,92.83640944429871,34.18449550181528,3.1095002107709355,5.1857,-92.48210944429871,-2336.769588495861
